Lugar ,Especie,Tamaño,Peso,VidaPromedio,Camada,CicloRepr
Canarias,Gallina,0.3,2.10,7,5.0,20.0
Cataluña,Gallina,0.6,2.40,8,6.0,20.0
Palencia,Gallina,0.8,2.30,11,6.0,20.0
Pontevedra,Gallina,0.6,1.80,11,7.0,20.0
Málaga,Gallina,0.7,1.60,5,8.0,20.0
Zaragoza,Gallina,0.3,2.30,6,8.0,20.0
Cantabria,Gallina,0.7,2.00,9,8.0,20.0
Andalucía,Gallina,0.4,2.00,12,8.0,20.0
La Rioja,Gallina,0.8,1.90,6,9.0,20.0
Granada,Gallina,0.6,2.10,6,9.0,20.0
Balears,Gallina,0.6,1.70,10,10.0,20.0
Barcelona,Gallina,0.7,1.80,11,10.0,20.0
Cádiz,Gallina,0.3,1.80,11,6.0,21.0
Galicia,Gallina,0.5,1.80,12,7.0,21.0
Tarragona,Gallina,0.6,2.00,12,7.0,21.0
Lugo,Gallina,0.3,1.70,6,8.0,21.0
Burgos,Gallina,0.8,1.60,5,9.0,21.0
Castilla y León,Gallina,0.5,2.00,6,10.0,21.0
Ávila,Gallina,0.5,2.20,7,10.0,21.0
Guadalajara,Gallina,0.7,2.20,7,10.0,21.0
"Coruña, A",Gallina,0.4,2.30,10,10.0,21.0
Córdoba,Gallina,0.4,2.00,12,10.0,21.0
Teruel,Gallina,0.8,2.10,5,5.0,22.0
Girona,Gallina,0.7,2.30,8,5.0,22.0
Palmas,Gallina,0.3,2.40,10,5.0,22.0
Gipuzkoa,Gallina,0.3,2.30,9,6.0,22.0
Bizkaia,Gallina,0.4,1.60,10,6.0,22.0
Soria,Gallina,0.5,2.00,11,6.0,22.0
Madrid,Gallina,0.8,2.00,5,7.0,22.0
Jaén,Gallina,0.4,2.10,8,7.0,22.0
Extremadura,Gallina,0.4,2.00,12,8.0,22.0
Santa Cruz,Gallina,0.8,1.70,9,9.0,22.0
Aragón,Gallina,0.3,1.90,7,10.0,22.0
Badajoz,Gallina,0.5,2.30,9,10.0,22.0
Cáceres,Gallina,0.4,1.80,5,5.0,23.0
Sevilla,Gallina,0.4,1.90,5,8.0,23.0
Cuenca,Gallina,0.6,2.20,5,8.0,23.0
Navarra,Gallina,0.6,1.60,11,8.0,23.0
Ourense,Gallina,0.8,1.90,11,8.0,23.0
Valencia,Gallina,0.5,1.90,7,9.0,23.0
Ciudad Real,Gallina,0.7,2.30,12,9.0,23.0
Castilla La Mancha,Gallina,0.4,1.60,11,10.0,23.0
Valladolid,Gallina,0.3,2.20,8,5.0,24.0
País Vasco,Gallina,0.7,2.00,9,6.0,24.0
Albacete,Gallina,0.6,1.70,12,7.0,24.0
Alicante,Gallina,0.3,2.20,12,7.0,24.0
Segovia,Gallina,0.6,2.10,10,8.0,24.0
Lleida,Gallina,0.7,2.30,11,8.0,24.0
Zamora,Gallina,0.7,1.60,8,10.0,24.0
Salamanca,Gallina,0.8,2.20,11,10.0,24.0
León,Gallina,0.5,2.20,8,5.0,25.0
Araba,Gallina,0.4,2.10,9,5.0,25.0
Comunitat Valenciana,Gallina,0.4,1.60,9,6.0,25.0
Almería,Gallina,0.6,2.20,12,7.0,25.0
Huelva,Gallina,0.5,2.40,5,8.0,25.0
Huesca,Gallina,0.7,1.80,7,8.0,25.0
Castellón,Gallina,0.6,2.30,8,9.0,25.0
Asturias,Gallina,0.3,1.90,11,9.0,25.0
Murcia,Gallina,0.3,1.80,12,10.0,25.0
Almería,Pato,0.59,1.02,9,4.0,26.0
Granada,Pato,0.63,1.22,6,8.0,26.0
Galicia,Pato,0.47,1.02,10,8.0,26.0
Cantabria,Pato,0.62,0.92,13,8.0,26.0
Huelva,Pato,0.53,1.32,7,9.0,26.0
Araba,Pato,0.64,0.82,9,9.0,26.0
Palencia,Pato,0.63,1.02,14,9.0,26.0
Valencia,Pato,0.64,0.92,14,10.0,26.0
Ávila,Pato,0.54,0.82,15,11.0,26.0
Málaga,Pato,0.67,1.02,4,12.0,26.0
Castellón,Pato,0.49,1.32,8,12.0,26.0
Cádiz,Pato,0.46,1.32,12,12.0,26.0
Gipuzkoa,Guajolote,0.92,11,8,3.0,27.0
Madrid,Guajolote,1.12,11,9,3.0,27.0
Burgos,Guajolote,1.08,7.0,10,3.0,27.0
Granada,Guajolote,0.87,6,11,3.0,27.0
Alicante,Guajolote,1.03,7,11,3.0,27.0
Palmas,Guajolote,0.95,7,12,3.0,27.0
Castilla y León,Guajolote,1.13,8,12,3.0,27.0
Barcelona,Pato,0.68,1.02,6,4.0,27.0
Palencia,Guajolote,0.9,4,8,4.0,27.0
Málaga,Guajolote,1.2,5,8,4.0,27.0
Guadalajara,Guajolote,0.8,7,10,4.0,27.0
Córdoba,Pato,0.46,1.02,11,4.0,27.0
Badajoz,Guajolote,0.98,7,11,4.0,27.0
Girona,Pato,0.59,1.12,6,6.0,27.0
Valencia,Guajolote,0.91,6,8,6.0,27.0
Ciudad Real,Guajolote,1.09,9,10,6.0,27.0
Córdoba,Guajolote,0.88,9,11,6.0,27.0
Ávila,Guajolote,0.88,11,12,6.0,27.0
Ourense,Pato,0.52,1.32,13,6.0,27.0
Extremadura,Pato,0.53,1.32,15,6.0,27.0
Lleida,Pato,0.5,0.92,5,7.0,27.0
Cáceres,Pato,0.64,0.92,15,7.0,27.0
Aragón,Pato,0.47,0.82,10,8.0,27.0
León,Pato,0.53,1.32,10,9.0,27.0
Santa Cruz,Pato,0.5,0.92,7,10.0,27.0
Salamanca,Pato,0.59,1.32,5,11.0,27.0
Asturias,Pato,0.62,1.02,4,12.0,27.0
Valladolid,Pato,0.67,0.82,7,12.0,27.0
Ourense,Guajolote,0.79,10,9,3.0,28.0
Valladolid,Guajolote,0.92,8,10,3.0,28.0
Comunitat Valenciana,Guajolote,1.2,5,12,3.0,28.0
Barcelona,Guajolote,1.18,10,12,3.0,28.0
